join_day,first_id,last_id
2025-08-31,38394851,38399650
2025-09-01,38399651,38404450
2025-09-02,38404451,38409250
2025-09-03,38409251,38412850
2025-09-04,38412851,38417650
2025-09-05,38417651,38421250
2025-09-06,38421251,38427250
2025-09-07,38427251,38432050
2025-09-08,38432051,38436850
2025-09-09,38436851,38440450
2025-09-10,38440451,38445250
2025-09-11,38445251,38450050
2025-09-12,38450051,38453650
2025-09-13,38453651,38459650
2025-09-14,38459651,38464450
2025-09-15,38464451,38469250
2025-09-16,38469251,38472850
2025-09-17,38472851,38476450
2025-09-18,38476451,38481250
2025-09-19,38481251,38484850
2025-09-20,38484851,38490850
2025-09-21,38490851,38495650
2025-09-22,38495651,38499250
2025-09-23,38499251,38502850
2025-09-24,38502851,38507650
2025-09-25,38507651,38511250
2025-09-26,38511251,38516050
2025-09-27,38516051,38520850
2025-09-28,38520851,38525650
2025-09-29,38525651,38529250
2025-09-30,38529251,38532850
